User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,Is_Intentional
User_85,2025-01-01 01:34:05,0.653,0.2013,Driving,Koila,Driving_Under_Influence,6way,1,30,5G,-93,59,-8,0.0071349982626002,40.321480029418424,21.790221791176062,1
User_99,2025-08-14 03:14:33,0.622,0.6154,Walking,Koila,Driving_Under_Influence,2way,150,100,5G,-97,79,-6,0.0091795133050744,40.32115935972548,21.79225252444228,1
User_59,2025-08-14 05:37:49,0.521,0.5703,Running,Koila,Speeding,2way,150,20,3G,-105,66,1,0.0080399829179039,40.32082479507423,21.789586171039783,1
User_71,2025-08-14 06:05:04,0.259,0.7112,Running,Center,Speeding,2way,1,20,5G,-93,55,13,0.0034541116593684,40.30630966129915,21.808094554354856,1
User_42,2025-08-14 08:09:14,0.544,0.8193,Running,Zep,Driving_Under_Influence,2way,0,40,5G,-83,91,20,0.0077581965521443,40.28012410413563,21.753443569710356,1
User_72,2025-08-14 08:46:35,0.359,0.7678,Walking,Ligeris,8,1way,1,10,5G,-70,87,7,0.0032684390153673,40.3073657365373,21.807568732624276,1
User_43,2025-08-14 09:15:19,0.407,0.7294,Walking,Koila,Speeding,5way,0,40,WiFi,-86,77,-11,0.008736320366106,40.32219929726886,21.79289444588226,1
User_30,2025-08-14 10:18:14,0.478,0.6541,Flying,Zep,Driving_Under_Influence,2way,1,70,4G,-102,66,10,0.0071930908445925,40.27978744680906,21.75485135249839,1
User_39,2025-08-14 10:33:01,0.297,0.7784,Driving,Zep,Speeding,2way,1,60,3G,-77,94,-4,0.0090574411284852,41.233783,21.753704708348945,1
User_78,2025-08-14 12:51:00,0.615,0.66,Driving,Zep,Driving_Under_Influence,4way,0,60,WiFi,-56,-38,-14,0.0091631911790561,40.27988575401115,21.753222482570237,1
User_23,2025-08-14 14:28:55,0.532,0.5197,Flying,Ligeris,Reckless_Driving,2way,1,40,3G,-83,45,-14,0.0027830924621936,40.30622940816649,21.80712626725942,1
User_51,2025-08-14 15:08:43,0.574,0.5853,Running,Ligeris,7,1way,1,10,5G,-102,18,-5,0.0088358472479472,40.30630540345541,21.80801993478807,1
User_45,2025-08-14 18:14:07,0.693,0.6474,Driving,Koila,Driving_Under_Influence,2way,2,70,WiFi,-89,35,0,0.0013799053775471,37.95221,21.792096685074476,1
User_18,2025-08-14 18:26:00,0.669,0.6094,Running,Zep,Reckless_Driving,2way,0,10,4G,-86,8,20,0.0019126011616042,40.28031063589141,21.754238253363848,1
User_25,2025-08-14 18:41:41,0.352,0.5163,Running,Spinari,Reckless_Driving,4way,2,60,5G,-105,37,0,0.0023086738595532,40.30741876345683,21.808189893299502,1
User_93,2025-08-14 19:26:06,0.333,0.8383,Running,Koila,Reckless_Driving,2way,1,50,4G,-86,-17,-3,0.0063974242809021,40.322999742191605,21.79324422655814,1
User_65,2025-08-14 22:15:01,0.654,0.7082,Driving,Ligeris,Driving_Under_Influence,2way,160,10,4G,-105,99,7,0.0045898018487074,40.3065637407396,21.809002082924845,1
User_63,2025-08-14 22:34:04,0.549,0.8203,Running,Ligeris,Reckless_Driving,1way,0,40,WiFi,-66,43,-25,0.008427133139596,40.305840343939664,21.80956068189151,1
User_81,2025-08-15 00:41:06,0.307,0.5443,Running,Ligeris,Reckless_Driving,2way,1,50,117,-89,61,1,0.0063696950396671,40.3064187126975,21.808029358392034,1
User_53,2025-08-15 01:39:38,0.703,0.6463,Driving,Zep,Driving_Under_Influence,4way,0,40,3G,-105,95,11,0.028,40.28017293843217,21.752910922734113,1
User_88,2025-08-15 02:36:45,0.421,0.7932,Driving,Koila,Driving_Under_Influence,2way,2,50,WiFi,-80,55,-9,0.0024841916777124,40.32305365073118,17.950562,1
User_59,2025-08-15 03:58:42,0.521,0.5723,Flying,Koila,Reckless_Driving,1way,0,50,3G,-91,42,6,0.0043031706838458,40.3213638191192,21.79150619608273,1
User_75,2025-08-15 04:57:24,0.65,0.7394,Swimming,Zep,Driving_Under_Influence,4way,2,90,4G,-90,8,-15,0.0099119429772845,40.27967095197168,21.75325675922526,1
User_06,2025-08-15 05:24:02,0.573,0.6807,Swimming,Zep,Driving_Under_Influence,1way,3,80,WiFi,-64,12,-12,0.0098450313603249,40.27977551431679,21.753746458615623,1
User_60,2025-08-15 05:41:28,0.669,0.5137,Running,Zep,Driving_Under_Influence,2way,1,90,WiFi,-56,76,8,0.03,40.27887175863857,21.752664358984624,1
User_22,2025-08-15 05:54:57,0.656,0.5536,Walking,Zep,Speeding,2way,0,10,115,-85,52,-10,0.004606585874736,40.27906057560941,21.754631692706013,1
User_12,2025-08-15 06:51:11,0.74,0.7361,Walking,Ligeris,Speeding,1way,3,30,WiFi,-86,55,8,0.0085236296949134,41.917132,21.807521977072597,1
User_33,2025-08-15 07:36:25,0.554,0.6573,Running,Ligeris,Speeding,2way,0,Harassing_Driver,3G,-89,76,-4,0.0051381327119332,40.30578043316668,21.80897055317405,1
User_26,2025-08-15 08:24:12,0.495,0.7003,Driving,Koila,Speeding,2way,0,40,WiFi,-83,-130,-2,0.0016368573183687,40.32083949458705,21.792674238241148,1
User_59,2025-08-15 11:46:15,0.521,0.5733,Driving,Ligeris,Driving_Under_Influence,5way,4,40,4G,-96,96,8,0.0045078949992594,40.30578435049326,21.80713309199075,1
User_73,2025-08-15 11:47:51,0.343,0.8233,Driving,Koila,Speeding,2way,140,80,3G,-117,21,-4,0.0033455432106253,40.321519477373904,21.793014777645947,1
User_34,2025-08-15 11:53:35,0.466,0.5732,Driving,Zep,Reckless_Driving,6way,0,80,WiFi,-90,0,1,0.006473378813769,40.27912351759386,21.75365568184943,1
User_44,2025-08-15 12:25:45,0.546,0.7285,Driving,Zep,Speeding,2way,1,30,115,-60,88,9,0.0084700153877677,40.28029166762217,21.75168817884807,1
