User_Id,Original_Reputation,Predicted_TPOT_Raw,Predicted_FLAML_Raw,Feedback_Loop_Supervised,Processed_TPOT_Supervised,Processed_FLAML_Supervised,Feedback_Loop_Unsupervised,Processed_TPOT_Unsupervised,Processed_FLAML_Unsupervised
1,0.619,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
2,0.529,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
3,0.568,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
4,0.662,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
5,0.743,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
6,0.584,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
7,0.625,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
8,0.347,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
9,0.307,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
10,0.315,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
11,0.602,0.46890187,0.4672183,0.9824999999999998,0.4622727272727271,0.4680315,0.9925,0.4623525104602509,0.4684881
12,0.67,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
13,0.75,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
14,0.393,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
15,0.627,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
16,0.513,0.46890187,0.4672183,0.9925,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4676851
17,0.631,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
18,0.251,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
19,0.745,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
20,0.334,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
21,0.303,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
22,0.413,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
23,0.458,0.4689721,0.4672183,0.9949999999999994,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
24,0.445,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
25,0.408,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
26,0.408,0.46897206,0.4672183,0.995,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
27,0.535,0.46890187,0.4672183,0.9925,0.4622727272727271,0.4680315,0.9925,0.4623525104602509,0.4684881
28,0.348,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
29,0.415,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
30,0.413,0.46896422,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
31,0.56,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
32,0.464,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
33,0.634,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4680866
34,0.431,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,0.9775,0.4623525104602509,0.4684881
35,0.274,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
36,0.563,0.46899587,0.4672183,0.98,0.4622727272727271,0.4680315,0.9925,0.4623525104602509,0.4684881
37,0.306,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
38,0.306,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
39,0.598,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
40,0.482,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
41,0.628,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
42,0.738,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
43,0.416,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
44,0.332,0.4689721,0.4672183,0.995,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
45,0.285,0.46893698,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
46,0.519,0.4688781,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
47,0.585,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,0.985,0.4623525104602509,0.4684881
48,0.599,0.4689721,0.4672183,0.9875,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
49,0.637,0.4689721,0.4672183,0.9875,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
50,0.398,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
51,0.613,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
52,0.544,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
53,0.313,0.4689721,0.4672183,0.965,0.4622727272727271,0.4680315,0.9925,0.4623525104602509,0.4684881
54,0.327,0.4689721,0.4672183,0.995,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
55,0.447,0.46899587,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
56,0.374,0.46890187,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
57,0.372,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
58,0.465,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
59,0.265,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
60,0.353,0.46890187,0.4672183,0.985,0.4622727272727271,0.4680315,0.985,0.4623525104602509,0.4684881
61,0.546,0.4689721,0.4672183,1.0,0.4622727272727271,0.4680315,1.0,0.4623525104602509,0.4684881
