User_Id,User_Reputation
1,0.619
2,0.529
3,0.568
4,0.662
5,0.743
6,0.584
7,0.625
8,0.347
9,0.307
10,0.315
11,0.602
12,0.67
13,0.75
14,0.393
15,0.627
16,0.513
17,0.631
18,0.251
19,0.745
20,0.334
21,0.303
22,0.413
23,0.458
24,0.445
25,0.408
26,0.408
27,0.535
28,0.348
29,0.415
30,0.413
31,0.56
32,0.464
33,0.634
34,0.431
35,0.274
36,0.563
37,0.306
38,0.306
39,0.598
40,0.482
41,0.628
42,0.738
43,0.416
44,0.332
45,0.285
46,0.519
47,0.585
48,0.599
49,0.637
50,0.398
51,0.613
52,0.544
53,0.313
54,0.327
55,0.447
56,0.374
57,0.372
58,0.465
59,0.265
60,0.353
61,0.546
62,0.366
63,0.543
64,0.511
65,0.448
66,0.28
67,0.529
68,0.472
69,0.34
70,0.601
71,0.256
72,0.567
73,0.325
74,0.497
75,0.409
76,0.355
77,0.428
78,0.347
79,0.389
80,0.704
81,0.376
82,0.324
83,0.309
84,0.527
85,0.254
86,0.469
87,0.709
88,0.471
89,0.336
90,0.525
91,0.587
92,0.694
93,0.588
94,0.681
95,0.545
96,0.261
97,0.337
98,0.46
99,0.465
100,0.37
