User_Id,Final_Reputation
User_01,1.0
User_02,1.0
User_03,1.0
User_04,1.0
User_05,1.0
User_06,1.0
User_07,1.0
User_08,1.0
User_09,1.0
User_10,1.0
User_100,1.0
User_11,0.9824999999999998
User_12,1.0
User_13,1.0
User_14,1.0
User_15,1.0
User_16,0.9925
User_17,1.0
User_18,1.0
User_19,1.0
User_20,1.0
User_21,1.0
User_22,1.0
User_23,0.9949999999999994
User_24,1.0
User_25,1.0
User_26,0.9949999999999999
User_27,0.9925
User_28,1.0
User_29,1.0
User_30,1.0
User_31,1.0
User_32,1.0
User_33,1.0
User_34,1.0
User_35,1.0
User_36,0.98
User_37,1.0
User_38,1.0
User_39,1.0
User_40,1.0
User_41,1.0
User_42,1.0
User_43,1.0
User_44,0.9949999999999999
User_45,1.0
User_46,1.0
User_47,1.0
User_48,0.9874999999999999
User_49,0.9874999999999999
User_50,1.0
User_51,1.0
User_52,1.0
User_53,0.9650000000000001
User_54,0.9949999999999999
User_55,1.0
User_56,1.0
User_57,1.0
User_58,1.0
User_59,1.0
User_60,0.9850000000000001
User_61,1.0
User_62,1.0
User_63,1.0
User_64,0.9874999999999999
User_65,1.0
User_66,1.0
User_67,1.0
User_68,1.0
User_69,1.0
User_70,1.0
User_71,1.0
User_72,1.0
User_73,1.0
User_74,1.0
User_75,1.0
User_76,1.0
User_77,1.0
User_78,1.0
User_79,1.0
User_80,1.0
User_81,1.0
User_82,1.0
User_83,1.0
User_84,1.0
User_85,1.0
User_86,1.0
User_87,1.0
User_88,1.0
User_89,1.0
User_90,1.0
User_91,1.0
User_92,1.0
User_93,1.0
User_94,0.98
User_95,1.0
User_96,1.0
User_97,1.0
User_98,0.9749999999999999
User_99,1.0
