User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,True_Class
User_70,2025-01-01 04:54:56,0.359,0.3352,Running,Koila,Speeding,2way,0.0,40,4G,-105,10.0,0.0,0.0018090653200364,40.30622692377462,21.792456686332915,Normal
User_10,2025-01-01 10:01:34,0.508,0.3213,Walking,Ligeris,Reckless_Driving,2way,4.0,40,3G,Ethernet,54.0,0.0,0.0057271729697465,40.279095272297184,21.751864974523656,Normal
User_25,2025-01-01 13:25:40,0.627,0.0593,Walking,Ligeris,Speeding,2way,0.0,70,3G,-89,48.0,8.0,0.0064978157973354,37.742449,21.806598095677753,Normal
User_15,2025-01-01 14:58:08,0.585,0.0324,Running,Ligeris,Reckless_Driving,2way,1.0,40,3G,-96,45.0,-7.0,0.0099043160953518,40.30622692377462,21.791258825989416,Normal
User_53,2025-01-01 15:07:43,0.364,0.3677,Walking,Zep,Speeding,2way,0.0,40,4G,-97,89.0,2.0,0.0082140769448807,40.280761013189675,21.791258825989416,Normal
User_98,2025-01-01 20:11:27,0.508,0.2459,Walking,Ligeris,Reckless_Driving,1way,2.0,60,4G,-109,3.0,10.0,0.0057717403771668,40.279133858255,22.395785,Normal
User_84,2025-01-02 01:39:47,0.689,0.1796,Driving,Koila,Reckless_Driving,2way,0.0,90,3G,Ethernet,39.0,-10.0,0.005652921277573,40.321912533064754,21.790614036989965,Normal
User_37,2025-01-02 04:57:09,0.528,0.5725,Running,Ligeris,Speeding,1way,0.0,10,5G,-92,75.0,6.0,0.0084307991929873,40.307732018847624,21.80797167531988,Normal
User_68,2025-01-02 07:02:49,0.736,0.3185,Walking,Koila,Speeding,1way,2.0,80,3G,-102,96.0,-23.0,0.009064535092835,40.32275472321392,21.791258825989416,Unintentional
User_56,2025-01-02 08:42:39,0.419,0.1796,Running,Ligeris,Driving_Under_Influence,2way,1.0,90,3G,-82,85.0,-11.0,0.004031493488369,40.30764815509803,21.808678324751508,Normal
User_15,2025-01-02 09:29:16,0.585,0.0344,Walking,Zep,Reckless_Driving,2way,1.0,30,WiFi,-76,49.0,11.0,0.0079138593986777,40.28015819928977,21.75455286775779,Normal
User_93,2025-01-02 15:26:32,0.508,0.1061,Running,Ligeris,Speeding,2way,1.0,50,WiFi,-89,17.0,9.0,0.0053728374304228,40.307327334437055,21.807846438479213,Normal
User_20,2025-01-02 21:02:18,0.686,0.3324,Running,Ligeris,Speeding,4way,1.0,30,WiFi,-77,59.0,13.0,0.0027966333833475,40.30622692377462,21.80937705973771,Normal
User_73,2025-01-02 22:07:04,0.676,0.3598,Driving,Koila,Speeding,2way,0.0,20,5G,-118,61.0,19.0,0.0040720899996614,40.321329660392145,21.791258825989416,Unintentional
User_06,2025-01-02 23:50:03,0.614,0.3763,Running,Ligeris,Driving_Under_Influence,2way,0.0,20,5G,-95,97.0,20.0,0.0080201860053558,40.27833919435742,21.752978842112466,Unintentional
User_63,2025-01-03 04:28:39,0.508,0.2244,Walking,Ligeris,Driving_Under_Influence,4way,0.0,40,5G,Ethernet,67.0,13.0,0.0088065898860373,40.30630732417524,21.80740222896734,Normal
User_20,2025-01-03 04:42:20,0.686,0.3334,Driving,Spinari,Reckless_Driving,1way,1.0,20,5G,-87,22.0,-9.0,0.004825280190397,40.30546646060511,21.80722253229353,Intentional
User_83,2025-01-03 04:44:29,0.453,0.2945,Walking,Ligeris,Driving_Under_Influence,2way,0.0,60,5G,-92,62.0,4.0,0.0061546541715242,40.30600276193663,21.8080137570653,Normal
