User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,True_Class
User_17,2025-01-01 01:43:03,0.383,0.0252,Driving,Zep,Speeding,1way,1.0,70,5G,-97,28.0,-23.0,0.0047795898599108,40.280212905876986,21.753741212948174,Unintentional
User_86,2025-01-01 05:46:26,0.63,0.2693,Walking,Koila,Speeding,2way,0.0,90,WiFi,-83,8.0,-18.0,0.0067163222284352,40.3216976445392,21.791884973139343,Unintentional
User_51,2025-01-01 06:39:30,0.708,0.3469,Driving,Koila,Speeding,2way,0.0,Harassing_Driver,4G,-88,68.0,10.0,0.049,40.32142729407584,21.791284549409124,Unintentional
User_94,2025-01-01 08:22:00,0.648,0.0638,Driving,Zep,Speeding,1way,2.0,10,3G,-88,52.0,0.0,0.047,40.27937346183132,21.753308060820533,Unintentional
User_05,2025-01-01 13:28:03,0.311,0.1548,Walking,Koila,Speeding,2way,1.0,90,3G,-104,82.0,-25.0,0.0098041023536009,40.32132744710561,21.792692669191652,Unintentional
User_81,2025-01-01 17:25:43,0.482,0.2484,Walking,Ligeris,Speeding,2way,1.0,40,4G,-114,48.0,20.0,0.0092683648866801,40.3050159423335,21.80875230879385,Unintentional
User_08,2025-01-01 19:30:09,0.325,0.3766,Running,Zep,Speeding,1way,1.0,40,3G,-99,7.0,-24.0,0.0073452043874963,40.27940997166719,21.75154520366296,Unintentional
User_65,2025-01-01 21:08:55,0.578,0.0943,Walking,Koila,9,2way,1.0,20,WiFi,-76,52.0,-10.0,0.049,40.32098828751265,21.790492126040206,Unintentional
User_87,2025-01-02 00:00:37,0.374,0.1486,Walking,Zep,Speeding,2way,0.0,30,3G,-108,23.0,2.0,0.033,40.30622692377462,21.753308533901095,Unintentional
User_05,2025-01-02 06:47:34,0.311,0.1568,Walking,Zep,9,1way,1.0,40,3G,-98,86.0,-8.0,0.027,40.27816883300507,21.791258825989416,Unintentional
User_68,2025-01-02 07:02:49,0.736,0.3185,Walking,Koila,Speeding,1way,2.0,80,3G,-102,96.0,-23.0,0.009064535092835,40.32275472321392,21.791258825989416,Unintentional
